,Pred Ahmedabad,Pred Ajmer,Pred Bhopal,Pred Chennai,Pred Cochin,Pred Guwahati,Pred Kolkata,Pred Lucknow,Pred Ludhiana,Pred Mangalore,Pred Mumbai,Pred Nagpur,Pred New Delhi,Pred Patna
True Ahmedabad,0.4,0.046153846153846156,0.06153846153846154,0.046153846153846156,0.15384615384615385,0.015384615384615385,0.046153846153846156,0.0,0.03076923076923077,0.09230769230769231,0.046153846153846156,0.0,0.046153846153846156,0.015384615384615385
True Ajmer,0.014285714285714285,0.8714285714285714,0.04285714285714286,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.02857142857142857
True Bhopal,0.09230769230769231,0.015384615384615385,0.6307692307692307,0.03076923076923077,0.07692307692307693,0.0,0.06153846153846154,0.0,0.0,0.046153846153846156,0.0,0.0,0.015384615384615385,0.03076923076923077
True Chennai,0.011235955056179775,0.011235955056179775,0.0,0.6292134831460674,0.02247191011235955,0.0,0.1348314606741573,0.0449438202247191,0.02247191011235955,0.0,0.0,0.0449438202247191,0.02247191011235955,0.056179775280898875
True Cochin,0.07291666666666667,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.65625,0.10416666666666667,0.0,0.0,0.0,0.03125,0.08333333333333333,0.010416666666666666,0.0,0.010416666666666666
True Guwahati,0.0,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.12048192771084337,0.8072289156626506,0.0,0.0,0.0,0.024096385542168676,0.012048192771084338,0.0,0.0,0.0
True Kolkata,0.03571428571428571,0.023809523809523808,0.047619047619047616,0.08333333333333333,0.011904761904761904,0.0,0.6190476190476191,0.011904761904761904,0.03571428571428571,0.0,0.0,0.011904761904761904,0.05952380952380952,0.05952380952380952
True Lucknow,0.0,0.014925373134328358,0.0,0.07462686567164178,0.0,0.014925373134328358,0.07462686567164178,0.3880597014925373,0.16417910447761194,0.0,0.014925373134328358,0.11940298507462686,0.029850746268656716,0.1044776119402985
True Ludhiana,0.015384615384615385,0.0,0.015384615384615385,0.015384615384615385,0.0,0.0,0.046153846153846156,0.09230769230769231,0.5230769230769231,0.015384615384615385,0.03076923076923077,0.1076923076923077,0.015384615384615385,0.12307692307692308
True Mangalore,0.015384615384615385,0.0,0.015384615384615385,0.015384615384615385,0.15384615384615385,0.13846153846153847,0.0,0.0,0.0,0.6615384615384615,0.0,0.0,0.0,0.0
True Mumbai,0.05084745762711865,0.0,0.0,0.01694915254237288,0.11864406779661017,0.01694915254237288,0.0,0.01694915254237288,0.0,0.0,0.7627118644067796,0.0,0.0,0.01694915254237288
True Nagpur,0.014925373134328358,0.0,0.0,0.014925373134328358,0.04477611940298507,0.0,0.014925373134328358,0.1044776119402985,0.11940298507462686,0.014925373134328358,0.029850746268656716,0.6268656716417911,0.014925373134328358,0.0
True New Delhi,0.021739130434782608,0.06521739130434782,0.0,0.06521739130434782,0.0,0.021739130434782608,0.21739130434782608,0.08695652173913043,0.021739130434782608,0.0,0.0,0.0,0.32608695652173914,0.17391304347826086
True Patna,0.0,0.0,0.012048192771084338,0.03614457831325301,0.024096385542168676,0.0,0.07228915662650602,0.0963855421686747,0.07228915662650602,0.0,0.0,0.012048192771084338,0.0,0.6746987951807228
